"Date","Time","Value","Raw"
"03/13/2023","04:45:00","10.87","11",
"03/13/2023","04:30:00","10.88","11",
"03/13/2023","04:15:00","10.87","11",
"03/13/2023","04:00:00","10.86","11",
"03/13/2023","03:45:00","10.87","11",
"03/13/2023","03:30:00","10.85","11",
"03/13/2023","03:15:00","10.85","11",
"03/13/2023","03:00:00","10.85","11",
"03/13/2023","02:45:00","10.84","11",
"03/13/2023","02:30:00","10.83","11",
"03/13/2023","02:15:00","10.84","11",
"03/13/2023","02:00:00","10.84","11",
"03/13/2023","01:45:00","10.81","11",
"03/13/2023","01:30:00","10.84","11",
"03/13/2023","01:15:00","10.83","11",
"03/13/2023","01:00:00","10.86","11",
"03/13/2023","00:45:00","10.84","11",
"03/13/2023","00:30:00","10.85","11",
"03/13/2023","00:15:00","10.84","11",
"03/13/2023","00:00:00","10.78","11",
"03/12/2023","23:45:00","10.78","11",
"03/12/2023","23:30:00","10.77","11",
"03/12/2023","23:15:00","10.75","11",
"03/12/2023","23:00:00","10.74","11",
"03/12/2023","22:45:00","10.69","11",
"03/12/2023","22:30:00","10.67","11",
"03/12/2023","22:15:00","10.61","11",
"03/12/2023","22:00:00","10.6","11",
"03/12/2023","21:45:00","10.59","11",
"03/12/2023","21:30:00","10.61","11",
"03/12/2023","21:15:00","10.65","11",
"03/12/2023","21:00:00","10.67","11",
"03/12/2023","20:45:00","10.64","11",
"03/12/2023","20:30:00","10.58","11",
"03/12/2023","20:15:00","10.63","11",
"03/12/2023","20:00:00","10.52","11",
"03/12/2023","19:45:00","10.54","11",
"03/12/2023","19:30:00","10.67","11",
"03/12/2023","19:15:00","10.5","11",
"03/12/2023","19:00:00","10.56","11",
"03/12/2023","18:45:00","10.49","10",
"03/12/2023","18:30:00","10.49","10",
"03/12/2023","18:15:00","10.49","10",
"03/12/2023","18:00:00","10.48","10",
"03/12/2023","17:45:00","10.51","11",
"03/12/2023","17:30:00","10.5","11",
"03/12/2023","17:15:00","10.51","11",
"03/12/2023","17:00:00","10.49","10",
"03/12/2023","16:45:00","10.5","11",
"03/12/2023","16:30:00","10.48","10",
"03/12/2023","16:15:00","10.54","11",
"03/12/2023","16:00:00","10.48","10",
"03/12/2023","15:45:00","10.49","10",
"03/12/2023","15:30:00","10.5","11",
"03/12/2023","15:15:00","10.51","11",
"03/12/2023","15:00:00","10.52","11",
"03/12/2023","14:45:00","10.53","11",
"03/12/2023","14:30:00","10.52","11",
"03/12/2023","14:15:00","10.54","11",
"03/12/2023","14:00:00","10.54","11",
"03/12/2023","13:45:00","10.54","11",
"03/12/2023","13:30:00","10.55","11",
"03/12/2023","13:15:00","10.55","11",
"03/12/2023","13:00:00","10.54","11",
"03/12/2023","12:45:00","10.53","11",
"03/12/2023","12:30:00","10.55","11",
"03/12/2023","12:15:00","10.55","11",
"03/12/2023","12:00:00","10.55","11",
"03/12/2023","11:45:00","10.56","11",
"03/12/2023","11:30:00","10.56","11",
"03/12/2023","11:15:00","10.6","11",
"03/12/2023","11:00:00","10.62","11",
"03/12/2023","10:45:00","10.61","11",
"03/12/2023","10:30:00","10.62","11",
"03/12/2023","10:15:00","10.64","11",
"03/12/2023","10:00:00","10.62","11",
"03/12/2023","09:45:00","10.64","11",
"03/12/2023","09:30:00","10.65","11",
"03/12/2023","09:15:00","10.67","11",
"03/12/2023","09:00:00","10.67","11",
"03/12/2023","08:45:00","10.66","11",
"03/12/2023","08:30:00","10.65","11",
"03/12/2023","08:15:00","10.67","11",
"03/12/2023","08:00:00","10.63","11",
"03/12/2023","07:45:00","10.58","11",
"03/12/2023","07:30:00","10.49","10",
"03/12/2023","07:15:00","10.44","10",
"03/12/2023","07:00:00","10.42","10",
"03/12/2023","06:45:00","10.41","10",
"03/12/2023","06:30:00","10.44","10",
"03/12/2023","06:15:00","10.46","10",
"03/12/2023","06:00:00","10.46","10",
"03/12/2023","05:45:00","10.51","11",
"03/12/2023","05:30:00","10.49","10",
"03/12/2023","05:15:00","10.53","11",
"03/12/2023","05:00:00","10.52","11",
"03/12/2023","04:45:00","10.52","11",
"03/12/2023","04:30:00","10.59","11",
"03/12/2023","04:15:00","10.64","11",
"03/12/2023","04:00:00","10.59","11",
"03/12/2023","03:45:00","10.66","11",
"03/12/2023","03:30:00","10.56","11",
"03/12/2023","03:15:00","10.53","11",
"03/12/2023","03:00:00","10.54","11",
"03/12/2023","01:45:00","10.55","11",
"03/12/2023","01:30:00","10.56","11",
"03/12/2023","01:15:00","10.56","11",
"03/12/2023","01:00:00","10.53","11",
"03/12/2023","00:45:00","10.52","11",
"03/12/2023","00:30:00","10.51","11",
"03/12/2023","00:15:00","10.51","11",
"03/12/2023","00:00:00","10.49","10",
"03/11/2023","23:45:00","10.49","10",
"03/11/2023","23:30:00","10.46","10",
"03/11/2023","23:15:00","10.44","10",
"03/11/2023","23:00:00","10.4","10",
"03/11/2023","22:45:00","10.42","10",
"03/11/2023","22:30:00","10.39","10",
"03/11/2023","22:15:00","10.37","10",
"03/11/2023","22:00:00","10.35","10",
"03/11/2023","21:45:00","10.33","10",
"03/11/2023","21:30:00","10.32","10",
"03/11/2023","21:15:00","10.3","10",
"03/11/2023","21:00:00","10.29","10",
"03/11/2023","20:45:00","10.29","10",
"03/11/2023","20:30:00","10.3","10",
"03/11/2023","20:15:00","10.29","10",
"03/11/2023","20:00:00","10.28","10",
"03/11/2023","19:45:00","10.3","10",
"03/11/2023","19:30:00","10.27","10",
"03/11/2023","19:15:00","10.28","10",
"03/11/2023","19:00:00","10.28","10",
"03/11/2023","18:45:00","10.26","10",
"03/11/2023","18:30:00","10.22","10",
"03/11/2023","18:15:00","10.22","10",
"03/11/2023","18:00:00","10.22","10",
"03/11/2023","17:45:00","10.2","10",
"03/11/2023","17:30:00","10.22","10",
"03/11/2023","17:15:00","10.25","10",
"03/11/2023","17:00:00","10.23","10",
"03/11/2023","16:45:00","10.24","10",
"03/11/2023","16:30:00","10.18","10",
"03/11/2023","16:15:00","10.19","10",
"03/11/2023","16:00:00","10.18","10",
"03/11/2023","15:45:00","10.16","10",
"03/11/2023","15:30:00","10.11","10",
"03/11/2023","15:15:00","10.08","10",
"03/11/2023","15:00:00","10.02","10",
"03/11/2023","14:45:00","10.01","10",
"03/11/2023","14:30:00","10.01","10",
"03/11/2023","14:15:00","10.0","10",
"03/11/2023","14:00:00","9.99","10",
"03/11/2023","13:45:00","9.98","10",
"03/11/2023","13:30:00","9.97","10",
"03/11/2023","13:15:00","9.96","10",
"03/11/2023","13:00:00","9.98","10",
"03/11/2023","12:45:00","9.97","10",
"03/11/2023","12:30:00","9.96","10",
"03/11/2023","12:15:00","9.95","10",
"03/11/2023","12:00:00","9.93","10",
"03/11/2023","11:45:00","9.95","10",
"03/11/2023","11:30:00","9.96","10",
"03/11/2023","11:15:00","9.95","10",
"03/11/2023","11:00:00","9.95","10",
"03/11/2023","10:45:00","9.95","10",
"03/11/2023","10:30:00","9.96","10",
"03/11/2023","10:15:00","9.95","10",
"03/11/2023","10:00:00","9.96","10",
"03/11/2023","09:45:00","9.95","10",
"03/11/2023","09:30:00","9.97","10",
"03/11/2023","09:15:00","9.98","10",
"03/11/2023","09:00:00","9.98","10",
"03/11/2023","08:45:00","10.01","10",
"03/11/2023","08:30:00","9.98","10",
"03/11/2023","08:15:00","10.0","10",
"03/11/2023","08:00:00","10.03","10",
"03/11/2023","07:45:00","10.01","10",
"03/11/2023","07:30:00","10.02","10",
"03/11/2023","07:15:00","10.02","10",
"03/11/2023","07:00:00","10.02","10",
"03/11/2023","06:45:00","10.02","10",
"03/11/2023","06:30:00","10.02","10",
"03/11/2023","06:15:00","10.03","10",
"03/11/2023","06:00:00","10.0","10",
"03/11/2023","05:45:00","10.04","10",
"03/11/2023","05:30:00","10.0","10",
"03/11/2023","05:15:00","10.01","10",
"03/11/2023","05:00:00","10.03","10",
"03/11/2023","04:45:00","10.03","10",
"03/11/2023","04:30:00","9.99","10",
"03/11/2023","04:15:00","10.03","10",
"03/11/2023","04:00:00","10.02","10",
"03/11/2023","03:45:00","10.0","10",
"03/11/2023","03:30:00","10.01","10",
"03/11/2023","03:15:00","10.03","10",
"03/11/2023","03:00:00","10.0","10",
"03/11/2023","02:45:00","10.0","10",
"03/11/2023","02:30:00","10.02","10",
"03/11/2023","02:15:00","10.04","10",
"03/11/2023","02:00:00","10.04","10",
"03/11/2023","01:45:00","10.03","10",
"03/11/2023","01:30:00","10.03","10",
"03/11/2023","01:15:00","10.05","10",
"03/11/2023","01:00:00","9.99","10",
"03/11/2023","00:45:00","10.03","10",
"03/11/2023","00:30:00","9.98","10",
"03/11/2023","00:15:00","10.0","10",
"03/11/2023","00:00:00","10.0","10",
"03/10/2023","23:45:00","10.0","10",
"03/10/2023","23:30:00","9.97","10",
"03/10/2023","23:15:00","9.98","10",
"03/10/2023","23:00:00","9.97","10",
"03/10/2023","22:45:00","9.96","10",
"03/10/2023","22:30:00","9.96","10",
"03/10/2023","22:15:00","9.97","10",
"03/10/2023","22:00:00","9.96","10",
"03/10/2023","21:45:00","9.96","10",
"03/10/2023","21:30:00","9.98","10",
"03/10/2023","21:15:00","9.97","10",
"03/10/2023","21:00:00","10.0","10",
"03/10/2023","20:45:00","9.94","10",
"03/10/2023","20:30:00","9.95","10",
"03/10/2023","20:15:00","9.94","10",
"03/10/2023","20:00:00","9.95","10",
"03/10/2023","19:45:00","9.96","10",
"03/10/2023","19:30:00","9.95","10",
"03/10/2023","19:15:00","9.96","10",
"03/10/2023","19:00:00","9.98","10",
"03/10/2023","18:45:00","9.95","10",
"03/10/2023","18:30:00","9.96","10",
"03/10/2023","18:15:00","9.98","10",
"03/10/2023","18:00:00","9.94","10",
"03/10/2023","17:45:00","10.01","10",
"03/10/2023","17:30:00","9.96","10",
"03/10/2023","17:15:00","10.02","10",
"03/10/2023","17:00:00","9.98","10",
"03/10/2023","16:45:00","9.97","10",
"03/10/2023","16:30:00","10.01","10",
"03/10/2023","16:15:00","9.99","10",
"03/10/2023","16:00:00","9.96","10",
"03/10/2023","15:45:00","9.96","10",
"03/10/2023","15:30:00","10.0","10",
"03/10/2023","15:15:00","10.01","10",
"03/10/2023","15:00:00","9.91","10",
"03/10/2023","14:45:00","9.93","10",
"03/10/2023","14:30:00","9.92","10",
"03/10/2023","14:15:00","9.93","10",
"03/10/2023","14:00:00","9.91","10",
"03/10/2023","13:45:00","9.93","10",
"03/10/2023","13:30:00","9.93","10",
"03/10/2023","13:15:00","9.92","10",
"03/10/2023","13:00:00","9.9","10",
"03/10/2023","12:45:00","9.93","10",
"03/10/2023","12:30:00","9.92","10",
"03/10/2023","12:15:00","9.95","10",
"03/10/2023","12:00:00","9.93","10",
"03/10/2023","11:45:00","9.92","10",
"03/10/2023","11:30:00","9.88","10",
"03/10/2023","11:15:00","9.89","10",
"03/10/2023","11:00:00","9.89","10",
"03/10/2023","10:45:00","9.88","10",
"03/10/2023","10:30:00","9.88","10",
"03/10/2023","10:15:00","9.87","10",
"03/10/2023","10:00:00","9.89","10",
"03/10/2023","09:45:00","9.86","10",
"03/10/2023","09:30:00","9.88","10",
"03/10/2023","09:15:00","9.87","10",
"03/10/2023","09:00:00","9.89","10",
"03/10/2023","08:45:00","9.88","10",
"03/10/2023","08:30:00","9.9","10",
"03/10/2023","08:15:00","9.87","10",
"03/10/2023","08:00:00","9.89","10",
"03/10/2023","07:45:00","9.88","10",
"03/10/2023","07:30:00","9.88","10",
"03/10/2023","07:15:00","9.88","10",
"03/10/2023","07:00:00","9.87","10",
"03/10/2023","06:45:00","9.86","10",
"03/10/2023","06:30:00","9.86","10",
"03/10/2023","06:15:00","9.88","10",
"03/10/2023","06:00:00","9.87","10",
"03/10/2023","05:45:00","9.87","10",
"03/10/2023","05:30:00","9.88","10",
"03/10/2023","05:15:00","9.87","10",
"03/10/2023","05:00:00","9.87","10",
"03/10/2023","04:45:00","9.87","10",
"03/10/2023","04:30:00","9.87","10",
"03/10/2023","04:15:00","9.86","10",
"03/10/2023","04:00:00","9.85","10",
"03/10/2023","03:45:00","9.86","10",
"03/10/2023","03:30:00","9.87","10",
"03/10/2023","03:15:00","9.9","10",
"03/10/2023","03:00:00","9.86","10",
"03/10/2023","02:45:00","9.87","10",
"03/10/2023","02:30:00","9.85","10",
"03/10/2023","02:15:00","9.86","10",
"03/10/2023","02:00:00","9.86","10",
"03/10/2023","01:45:00","9.87","10",
"03/10/2023","01:30:00","9.88","10",
"03/10/2023","01:15:00","9.86","10",
"03/10/2023","01:00:00","9.86","10",
"03/10/2023","00:45:00","9.85","10",
"03/10/2023","00:30:00","9.86","10",
"03/10/2023","00:15:00","9.86","10",
"03/10/2023","00:00:00","9.88","10",
"03/09/2023","23:45:00","9.85","10",
"03/09/2023","23:30:00","9.84","10",
"03/09/2023","23:15:00","9.85","10",
"03/09/2023","23:00:00","9.85","10",
"03/09/2023","22:45:00","9.85","10",
"03/09/2023","22:30:00","9.85","10",
"03/09/2023","22:15:00","9.85","10",
"03/09/2023","22:00:00","9.87","10",
"03/09/2023","21:45:00","9.85","10",
"03/09/2023","21:30:00","9.85","10",
"03/09/2023","21:15:00","9.87","10",
"03/09/2023","21:00:00","9.86","10",
"03/09/2023","20:45:00","9.89","10",
"03/09/2023","20:30:00","9.9","10",
"03/09/2023","20:15:00","9.9","10",
"03/09/2023","20:00:00","9.87","10",
"03/09/2023","19:45:00","9.9","10",
"03/09/2023","19:30:00","9.92","10",
"03/09/2023","19:15:00","9.89","10",
"03/09/2023","19:00:00","9.94","10",
"03/09/2023","18:45:00","9.89","10",
"03/09/2023","18:30:00","9.9","10",
"03/09/2023","18:15:00","9.91","10",
"03/09/2023","18:00:00","9.9","10",
"03/09/2023","17:45:00","9.88","10",
"03/09/2023","17:30:00","9.96","10",
"03/09/2023","17:15:00","9.89","10",
"03/09/2023","17:00:00","9.89","10",
"03/09/2023","16:45:00","9.9","10",
"03/09/2023","16:30:00","9.91","10",
"03/09/2023","16:15:00","9.9","10",
"03/09/2023","16:00:00","9.91","10",
"03/09/2023","15:45:00","9.91","10",
"03/09/2023","15:30:00","9.9","10",
"03/09/2023","15:15:00","9.88","10",
"03/09/2023","15:00:00","9.88","10",
"03/09/2023","14:45:00","9.89","10",
"03/09/2023","14:30:00","9.9","10",
"03/09/2023","14:15:00","9.87","10",
"03/09/2023","14:00:00","9.88","10",
"03/09/2023","13:45:00","9.9","10",
"03/09/2023","13:30:00","9.88","10",
"03/09/2023","13:15:00","9.87","10",
"03/09/2023","13:00:00","9.89","10",
"03/09/2023","12:45:00","9.91","10",
"03/09/2023","12:30:00","9.88","10",
"03/09/2023","12:15:00","9.89","10",
"03/09/2023","12:00:00","9.87","10",
"03/09/2023","11:45:00","9.84","10",
"03/09/2023","11:30:00","9.86","10",
"03/09/2023","11:15:00","9.87","10",
"03/09/2023","11:00:00","9.86","10",
"03/09/2023","10:45:00","9.85","10",
"03/09/2023","10:30:00","9.86","10",
"03/09/2023","10:15:00","9.87","10",
"03/09/2023","10:00:00","9.86","10",
"03/09/2023","09:45:00","9.85","10",
"03/09/2023","09:30:00","9.88","10",
"03/09/2023","09:15:00","9.87","10",
"03/09/2023","09:00:00","9.85","10",
"03/09/2023","08:45:00","9.86","10",
"03/09/2023","08:30:00","9.85","10",
"03/09/2023","08:15:00","9.85","10",
"03/09/2023","08:00:00","9.86","10",
"03/09/2023","07:45:00","9.84","10",
"03/09/2023","07:30:00","9.85","10",
"03/09/2023","07:15:00","9.85","10",
"03/09/2023","07:00:00","9.84","10",
"03/09/2023","06:45:00","9.86","10",
"03/09/2023","06:30:00","9.85","10",
"03/09/2023","05:15:00","9.85","10",
"03/09/2023","05:00:00","9.85","10",
"03/09/2023","04:45:00","9.84","10",
"03/09/2023","04:30:00","9.83","10",
"03/09/2023","04:15:00","9.84","10",
"03/09/2023","04:00:00","9.84","10",
"03/09/2023","03:45:00","9.87","10",
"03/09/2023","03:30:00","9.86","10",
"03/09/2023","03:15:00","9.88","10",
"03/09/2023","03:00:00","9.87","10",
"03/09/2023","02:45:00","9.88","10",
"03/09/2023","02:30:00","9.88","10",
"03/09/2023","02:15:00","9.88","10",
"03/09/2023","02:00:00","9.87","10",
"03/09/2023","01:45:00","9.87","10",
"03/09/2023","01:30:00","9.88","10",
"03/09/2023","01:15:00","9.87","10",
"03/09/2023","01:00:00","9.88","10",
"03/09/2023","00:45:00","9.87","10",
"03/09/2023","00:30:00","9.87","10",
"03/09/2023","00:15:00","9.86","10",
"03/09/2023","00:00:00","9.87","10",
"03/08/2023","23:45:00","9.86","10",
"03/08/2023","23:30:00","9.86","10",
"03/08/2023","23:15:00","9.87","10",
"03/08/2023","23:00:00","9.84","10",
"03/08/2023","22:45:00","9.87","10",
"03/08/2023","22:30:00","9.87","10",
"03/08/2023","22:15:00","9.87","10",
"03/08/2023","22:00:00","9.85","10",
"03/08/2023","21:45:00","9.87","10",
"03/08/2023","21:30:00","9.92","10",
"03/08/2023","21:15:00","9.86","10",
"03/08/2023","21:00:00","9.86","10",
"03/08/2023","20:45:00","9.89","10",
"03/08/2023","20:30:00","9.86","10",
"03/08/2023","20:15:00","9.87","10",
"03/08/2023","20:00:00","9.87","10",
"03/08/2023","19:45:00","9.87","10",
"03/08/2023","19:30:00","9.88","10",
"03/08/2023","19:15:00","9.88","10",
"03/08/2023","19:00:00","9.89","10",
"03/08/2023","18:45:00","9.88","10",
"03/08/2023","18:30:00","9.87","10",
"03/08/2023","18:15:00","9.92","10",
"03/08/2023","18:00:00","9.88","10",
"03/08/2023","17:45:00","9.91","10",
"03/08/2023","17:30:00","9.87","10",
"03/08/2023","17:15:00","9.88","10",
"03/08/2023","17:00:00","9.88","10",
"03/08/2023","16:45:00","9.87","10",
"03/08/2023","16:30:00","9.86","10",
"03/08/2023","16:15:00","9.88","10",
"03/08/2023","16:00:00","9.88","10",
"03/08/2023","15:45:00","9.88","10",
"03/08/2023","15:30:00","9.87","10",
"03/08/2023","15:15:00","9.87","10",
"03/08/2023","15:00:00","9.89","10",
"03/08/2023","14:45:00","9.87","10",
"03/08/2023","14:30:00","9.88","10",
"03/08/2023","14:15:00","9.87","10",
"03/08/2023","14:00:00","9.88","10",
"03/08/2023","13:45:00","9.87","10",
"03/08/2023","13:30:00","9.89","10",
"03/08/2023","13:15:00","9.89","10",
"03/08/2023","13:00:00","9.89","10",
"03/08/2023","12:45:00","9.87","10",
"03/08/2023","12:30:00","9.86","10",
"03/08/2023","12:15:00","9.87","10",
"03/08/2023","12:00:00","9.87","10",
"03/08/2023","11:45:00","9.86","10",
"03/08/2023","11:30:00","9.88","10",
"03/08/2023","11:15:00","9.88","10",
"03/08/2023","11:00:00","9.88","10",
"03/08/2023","10:45:00","9.87","10",
"03/08/2023","10:30:00","9.86","10",
"03/08/2023","10:15:00","9.86","10",
"03/08/2023","10:00:00","9.88","10",
"03/08/2023","09:45:00","9.86","10",
"03/08/2023","09:30:00","9.87","10",
"03/08/2023","09:15:00","9.87","10",
"03/08/2023","09:00:00","9.86","10",
"03/08/2023","08:45:00","9.87","10",
"03/08/2023","08:30:00","9.87","10",
"03/08/2023","08:15:00","9.86","10",
"03/08/2023","08:00:00","9.86","10",
"03/08/2023","07:45:00","9.87","10",
"03/08/2023","07:30:00","9.87","10",
"03/08/2023","07:15:00","9.87","10",
"03/08/2023","07:00:00","9.88","10",
"03/08/2023","06:45:00","9.86","10",
"03/08/2023","06:30:00","9.88","10",
"03/08/2023","06:15:00","9.87","10",
"03/08/2023","06:00:00","9.86","10",
"03/08/2023","05:45:00","9.87","10",
"03/08/2023","05:30:00","9.88","10",
"03/08/2023","05:15:00","9.86","10",
"03/08/2023","05:00:00","9.89","10",
"03/08/2023","04:45:00","9.92","10",
"03/08/2023","04:30:00","9.88","10",
"03/08/2023","04:15:00","9.87","10",
"03/08/2023","04:00:00","9.86","10",
"03/08/2023","03:45:00","9.86","10",
"03/08/2023","03:30:00","9.88","10",
"03/08/2023","03:15:00","9.87","10",
"03/08/2023","03:00:00","9.89","10",
"03/08/2023","02:45:00","9.85","10",
"03/08/2023","02:30:00","9.88","10",
"03/08/2023","02:15:00","9.87","10",
"03/08/2023","02:00:00","9.88","10",
"03/08/2023","01:45:00","9.86","10",
"03/08/2023","01:30:00","9.88","10",
"03/08/2023","01:15:00","9.87","10",
"03/08/2023","01:00:00","9.87","10",
"03/08/2023","00:45:00","9.89","10",
"03/08/2023","00:30:00","9.9","10",
"03/08/2023","00:15:00","9.89","10",
"03/08/2023","00:00:00","9.9","10",
"03/07/2023","23:45:00","9.88","10",
"03/07/2023","23:30:00","9.88","10",
"03/07/2023","23:15:00","9.89","10",
"03/07/2023","23:00:00","9.89","10",
"03/07/2023","22:45:00","9.89","10",
"03/07/2023","22:30:00","9.9","10",
"03/07/2023","22:15:00","9.92","10",
